LABEL                          LABEL                          USER           PID  PPID     VSZ    RSS WCHAN          ADDR S NAME                       
u:r:kernel:s0                  u:r:kernel:s0                  root           103     2       0      0 kthread_worker_fn 0 S [erofs_worker/3]
u:r:kernel:s0                  u:r:kernel:s0                  root           104     2       0      0 kthread_worker_fn 0 S [erofs_worker/4]
u:r:kernel:s0                  u:r:kernel:s0                  root           105     2       0      0 kthread_worker_fn 0 S [erofs_worker/5]
u:r:kernel:s0                  u:r:kernel:s0                  root           106     2       0      0 kthread_worker_fn 0 S [erofs_worker/6]
u:r:kernel:s0                  u:r:kernel:s0                  root           107     2       0      0 kthread_worker_fn 0 S [erofs_worker/7]
u:r:kernel:s0                  u:r:kernel:s0                  root           109     2       0      0 rescuer_thread    0 I [bioset]
u:r:kernel:s0                  u:r:kernel:s0                  root           111     2       0      0 rescuer_thread    0 I [kthrotld]
u:r:kernel:s0                  u:r:kernel:s0                  root           114     2       0      0 deferred_free_thread 0 S [dmabuf-deferred-free-worker]
u:r:kernel:s0                  u:r:kernel:s0                  root           115     2       0      0 rescuer_thread    0 I [nvme-wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           116     2       0      0 rescuer_thread    0 I [nvme-reset-wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           117     2       0      0 rescuer_thread    0 I [nvme-delete-wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           118     2       0      0 rescuer_thread    0 I [uas]
u:r:kernel:s0                  u:r:kernel:s0                  root           119     2       0      0 rescuer_thread    0 I [dm_bufio_cache]
u:r:kernel:s0                  u:r:kernel:s0                  root           120     2       0      0 add_hwgenerator_randomness 0 S [hwrng]
u:r:kernel:s0                  u:r:kernel:s0                  root           121     2       0      0 irq_thread        0 S [irq/16-gh_msgq_rx]
u:r:kernel:s0                  u:r:kernel:s0                  root           122     2       0      0 rescuer_thread    0 I [mld]
u:r:kernel:s0                  u:r:kernel:s0                  root           123     2       0      0 rescuer_thread    0 I [ipv6_addrconf]
u:r:kernel:s0                  u:r:kernel:s0                  root           125     2       0      0 rescuer_thread    0 I [five_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           143     2       0      0 system_heap_refill_worker 0 S [qcom,system-pool-refill-thread]
u:r:kernel:s0                  u:r:kernel:s0                  root           144     2       0      0 dmabuf_rbin_heap_prereclaim 0 S [rbin]
u:r:kernel:s0                  u:r:kernel:s0                  root           145     2       0      0 dmabuf_rbin_heap_shrink 0 S [rbin_shrink]
u:r:kernel:s0                  u:r:kernel:s0                  root           147     2       0      0 gh_msgq_recv      0 S [mem_buf_trusted_vm_rcvr]
u:r:kernel:s0                  u:r:kernel:s0                  root           151     2       0      0 irq_thread        0 S [irq/33-dcvsh-irq-0]
u:r:kernel:s0                  u:r:kernel:s0                  root           152     2       0      0 irq_thread        0 S [irq/34-dcvsh-irq-2]
u:r:kernel:s0                  u:r:kernel:s0                  root           153     2       0      0 irq_thread        0 S [irq/35-dcvsh-irq-5]
u:r:kernel:s0                  u:r:kernel:s0                  root           154     2       0      0 irq_thread        0 S [irq/36-dcvsh-irq-7]
u:r:kernel:s0                  u:r:kernel:s0                  root           158     2       0      0 try_drain_rqs     0 S [halt_drain_rqs]
u:r:kernel:s0                  u:r:kernel:s0                  root           159     2       0      0 try_core_ctl      0 S [core_ctl]
u:r:kernel:s0                  u:r:kernel:s0                  root           160     2       0      0 irq_thread        0 S [irq/39-c228000.tsens0]
u:r:kernel:s0                  u:r:kernel:s0                  root           161     2       0      0 irq_thread        0 S [irq/40-c228000.tsens0]
u:r:kernel:s0                  u:r:kernel:s0                  root           162     2       0      0 irq_thread        0 S [irq/41-c229000.tsens1]
u:r:kernel:s0                  u:r:kernel:s0                  root           163     2       0      0 irq_thread        0 S [irq/42-c229000.tsens1]
u:r:kernel:s0                  u:r:kernel:s0                  root           164     2       0      0 irq_thread        0 S [irq/43-c22a000.tsens2]
u:r:kernel:s0                  u:r:kernel:s0                  root           165     2       0      0 irq_thread        0 S [irq/44-c22a000.tsens2]
u:r:kernel:s0                  u:r:kernel:s0                  root           175     2       0      0 irq_thread        0 S [irq/45-bcl-lvl0]
u:r:kernel:s0                  u:r:kernel:s0                  root           182     2       0      0 irq_thread        0 S [irq/46-bcl-lvl1]
u:r:kernel:s0                  u:r:kernel:s0                  root           183     2       0      0 irq_thread        0 S [irq/47-bcl-lvl2]
u:r:kernel:s0                  u:r:kernel:s0                  root           184     2       0      0 rescuer_thread    0 I [sec_abc_wq]
u:r:kernel:s0                  u:r:kernel:s0                  root           185     2       0      0 irq_thread        0 S [irq/50-qcom,qmp-tme]
u:r:kernel:s0                  u:r:kernel:s0                  root           186     2       0      0 qcom_wdt_kthread  0 S [gh-watchdog]
u:r:kernel:s0                  u:r:kernel:s0                  root           187     2       0      0 irq_thread        0 S [irq/80-arm-smmu-context-fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           190     2       0      0 irq_thread        0 S [irq/81-arm-smmu-context-fault]
